prefecture,year,TFR,unmarried,employment_rate
北海道,2020,1.21,0.358914261,0.608074778
青森県,2020,1.33,0.340657892,0.6914795
岩手県,2020,1.32,0.308391386,0.696501966
宮城県,2020,1.2,0.301490259,0.626567112
秋田県,2020,1.24,0.297679339,0.704870964
山形県,2020,1.37,0.263530167,0.716019431
福島県,2020,1.39,0.292434915,0.642036493
茨城県,2020,1.34,0.272955948,0.630518267
栃木県,2020,1.32,0.274826451,0.625672986
群馬県,2020,1.39,0.280800789,0.661706702
埼玉県,2020,1.27,0.280513018,0.603629418
千葉県,2020,1.27,0.27952717,0.593723911
東京都,2020,1.12,0.341755316,0.528373601
神奈川県,2020,1.26,0.274841071,0.575907125
新潟県,2020,1.33,0.278551368,0.700892286
富山県,2020,1.44,0.255730482,0.724926152
石川県,2020,1.47,0.269286719,0.68379241
福井県,2020,1.56,0.241468899,0.716533999
山梨県,2020,1.48,0.271326015,0.645962908
長野県,2020,1.46,0.264432098,0.676265784
岐阜県,2020,1.42,0.251760773,0.661490107
静岡県,2020,1.39,0.279343307,0.667662513
愛知県,2020,1.44,0.258210997,0.618974033
三重県,2020,1.42,0.258653382,0.647629092
滋賀県,2020,1.5,0.235074033,0.623943347
京都府,2020,1.26,0.326170901,0.557169394
大阪府,2020,1.31,0.344369729,0.539966596
兵庫県,2020,1.39,0.296920769,0.590146462
奈良県,2020,1.28,0.290549808,0.589038007
和歌山県,2020,1.43,0.322847317,0.632697222
鳥取県,2020,1.52,0.308631719,0.693616365
島根県,2020,1.6,0.279006369,0.721142745
岡山県,2020,1.48,0.29741614,0.644490852
広島県,2020,1.48,0.29651439,0.637722022
山口県,2020,1.48,0.313608301,0.653469413
徳島県,2020,1.48,0.305941845,0.673824902
香川県,2020,1.47,0.294282332,0.656816234
愛媛県,2020,1.4,0.324524596,0.634161499
高知県,2020,1.43,0.370538508,0.641668972
福岡県,2020,1.41,0.340211989,0.603329726
佐賀県,2020,1.59,0.311837727,0.69117368
長崎県,2020,1.61,0.335177565,0.672512658
熊本県,2020,1.6,0.323125283,0.671906666
大分県,2020,1.55,0.320599507,0.662552183
宮崎県,2020,1.65,0.338072878,0.668998032
鹿児島県,2020,1.61,0.329047457,0.676936278
沖縄県,2020,1.83,0.368924833,0.537223837
